Post-OCR Excelsior 1929-1932 - Llama 3.2 + patrones Diana/Irene
Inicio: 2026-09-21T20:10:28.901406
pagina,procesadas,corr_directas,corr_llm
0969_p505,75,1,0
0970_p506,17,0,0
0971_p507,36,0,0
0972_p508,48,0,0
0973_p509,73,3,0
0974_p510,63,2,0
0975_p511,57,0,0
0976_p512,75,1,0
0977_p513,78,2,0
0978_p514,10,0,0
0979_p515,87,7,0
0980_p516,49,1,0
0981_p517,186,1,0
0982_p518,66,1,0
0983_p519,5,0,0
0984_p520,7,0,0
0985_p521,11,0,0
0986_p522,86,0,0
0987_p523,8,0,0
0988_p524,9,0,0
0989_p525,27,0,0
0990_p526,110,1,0
0991_p527,114,1,0
0992_p528,13,0,0
0993_p529,108,4,0
0994_p530,136,4,0
0995_p531,115,3,0
0996_p532,21,0,0
0997_p533,111,2,0
0998_p534,32,0,0
0999_p535,20,0,0
1000_p536,70,0,0
1001_p537,120,0,0
1002_p538,25,0,0
1003_p539,64,1,0
1004_p540,40,0,0
1005_p541,61,1,0
1006_p542,27,0,0
1007_p543,61,1,0
1008_p544,121,1,0
1009_p545,34,0,0
1010_p546,74,3,0
1011_p547,59,0,0
1012_p548,98,0,0
1013_p549,14,0,0
1014_p550,50,0,0
1015_p551,83,1,0
1016_p552,77,0,0
1017_p553,71,1,0
1018_p554,62,0,0
1019_p555,81,2,0
1020_p556,80,4,0
1021_p557,170,0,0
1022_p558,59,1,0
1023_p559,5,0,0
1024_p560,9,0,0
1025_p561,15,0,0
1026_p562,72,0,0
1027_p563,9,0,0
1028_p564,9,0,0
1029_p565,20,0,0
1030_p566,63,2,0
1031_p567,32,0,0
1032_p568,98,5,0
1033_p569,6,0,0
1034_p570,129,2,0
1035_p571,100,0,0
1036_p572,65,0,0
1037_p573,22,0,0
1038_p574,73,2,0
1039_p575,18,0,0
1040_p576,113,1,0
1041_p577,56,1,0
1042_p578,72,1,0
1043_p579,25,0,0
1044_p580,44,0,0
1045_p581,65,0,0
1046_p582,33,0,0
1047_p583,120,1,0
1048_p584,84,0,0
1049_p585,10,0,0
1050_p586,73,1,0
1051_p587,4,0,0
1052_p588,70,1,0
1053_p589,55,0,0
1054_p590,76,1,0
1055_p591,4,0,0
1056_p592,59,2,0
1057_p593,49,2,0
1058_p594,109,1,0
1059_p595,219,0,0
1060_p596,59,1,0
1061_p597,5,0,0
1062_p598,17,0,0
1063_p599,15,0,0
1064_p600,68,1,0
1065_p601,7,0,0
1066_p602,15,0,0
1067_p603,12,0,0
1068_p604,10,0,0
1069_p605,13,0,0
1070_p606,110,0,0
1071_p607,14,1,0
1072_p608,93,0,0
1073_p609,114,1,0
1074_p610,8,0,0
1075_p611,29,0,0
1076_p612,75,2,0
1077_p613,21,0,0
1078_p614,118,0,0
1079_p615,56,0,0
1080_p616,57,1,0
1081_p617,8,0,0
1082_p618,6,0,0
1083_p619,27,0,0
1084_p620,127,0,0
1085_p621,50,3,0
1086_p622,64,0,0
1087_p623,71,0,0
1088_p624,84,0,0
1089_p625,23,0,0
1090_p626,53,0,0
1091_p627,92,2,0
1092_p628,111,2,0
1093_p629,74,3,0
1094_p630,105,0,0
1095_p631,15,0,0
1096_p632,95,1,0
1097_p633,102,0,0
1098_p634,68,0,0
1099_p635,195,0,0
1100_p636,56,1,0
1101_p637,4,0,0
1102_p001,4,0,0
1103_p002,21,0,0
1104_p003,75,0,0
1105_p004,7,0,0
1106_p005,1,0,0
1107_p006,14,1,0
1108_p007,4,0,0
1109_p008,92,3,0
1110_p009,114,7,0
1111_p010,104,2,0
1112_p011,10,0,0
1113_p012,8,0,0
1114_p013,62,1,0
1115_p014,99,1,0
1116_p015,70,0,0
1117_p016,15,0,0
1118_p017,69,1,0
1119_p018,88,1,0
1120_p019,48,0,0
1121_p020,31,0,0
1122_p021,42,0,0
1123_p022,78,1,0
1124_p023,103,4,0
1125_p024,114,2,0
1126_p025,79,0,0
1127_p026,101,5,0
1128_p027,40,1,0
1129_p028,50,2,0
1130_p029,8,0,0
1131_p030,45,1,0
1132_p031,9,0,0
1133_p032,56,2,0
1134_p033,68,1,0
1135_p034,75,1,0
1136_p035,61,1,0
1137_p036,18,0,0
1138_p037,114,0,0
1139_p038,47,0,0
1140_p039,3,0,0
1141_p040,42,0,0
1142_p041,73,0,0
1143_p042,8,0,0
1144_p043,13,1,0
1145_p044,18,0,0
1146_p045,2,0,0
1147_p046,91,4,0
1148_p047,114,7,0
1149_p048,108,4,0
1150_p049,14,0,0
1151_p050,105,0,0
1152_p051,73,2,0
1153_p052,10,0,0
1154_p053,48,0,0
1155_p054,50,1,0
1156_p055,83,3,0
1157_p056,111,1,0
1158_p057,58,1,0
1159_p058,46,2,0
1160_p059,48,2,0
1161_p060,78,1,0
1162_p061,76,1,0
1163_p062,91,1,0
1164_p063,14,0,0
1165_p064,38,1,0
1166_p065,80,1,0
1167_p066,80,1,0
1168_p067,84,2,0
1169_p068,61,1,0
1170_p069,45,0,0
1171_p070,56,1,0
1172_p071,53,3,0
1173_p072,46,0,0
1174_p073,16,0,0
1175_p074,86,2,0
1176_p075,53,0,0
1177_p076,54,2,0
1178_p077,15,0,0
1179_p078,2,0,0
1180_p079,39,0,0
1181_p080,76,0,0
1182_p081,16,0,0
1183_p082,9,0,0
1184_p083,47,0,0
1185_p084,6,0,0
1186_p085,94,3,0
1187_p086,114,2,0
1188_p087,109,2,0
1189_p088,17,0,0
1190_p089,76,0,0
1191_p090,94,2,0
1192_p091,6,0,0
1193_p092,10,0,0
1194_p093,62,1,0
1195_p094,62,1,0
1196_p095,45,0,0
1197_p096,103,2,0
1198_p097,34,0,0
1199_p098,49,1,0
1200_p099,48,1,0
1201_p100,90,0,0
1202_p101,13,1,0
1203_p102,65,1,0
1204_p103,64,1,0
1205_p104,18,0,0
1206_p105,76,2,0
1207_p106,60,1,0
1208_p107,9,0,0
1209_p108,84,2,0
1210_p109,10,0,0
1211_p110,107,2,0
1212_p111,94,2,0
1213_p112,208,1,0
1214_p113,22,0,0
1215_p114,74,0,0
1216_p115,81,0,0
1217_p116,52,2,0
1218_p117,15,0,0
1219_p118,1,0,0
1220_p119,24,0,0
1221_p120,59,0,0
1222_p121,21,0,0
1223_p122,19,0,0
1224_p123,18,0,0
1225_p124,20,0,0
1226_p125,91,5,0
1227_p126,79,4,0
1228_p127,111,2,0
1229_p128,90,2,0
1230_p129,10,0,0
1231_p130,45,0,0
1232_p131,44,0,0
1233_p132,52,1,0
1234_p133,45,0,0
1235_p134,77,2,0
1236_p135,62,0,0
1237_p136,88,2,0
1238_p137,17,0,0
1239_p138,63,0,0
1240_p139,32,1,0
1241_p140,55,1,0
1242_p141,97,0,0
1243_p142,52,2,0
1244_p143,37,0,0
1245_p144,68,3,0
1246_p145,109,2,0
1247_p146,7,0,0
1248_p147,96,1,0
1249_p148,43,0,0
1250_p149,43,0,0
1251_p150,84,2,0
1252_p151,10,0,0
1253_p152,75,1,0
1254_p153,61,0,0
1255_p154,71,1,0
1256_p155,55,0,0
1257_p156,60,0,0
1258_p157,56,2,0
1259_p158,85,0,0
1260_p159,45,0,0
1261_p160,55,2,0
1262_p161,3,0,0
1263_p162,10,0,0
1264_p163,42,0,0
1265_p164,74,0,0
1266_p165,18,0,0
1267_p166,9,0,0
1268_p167,14,1,0
1269_p168,2,0,0
1270_p169,51,0,0
1271_p170,65,1,0
1272_p171,90,3,0
1273_p172,108,5,0
1274_p173,105,1,0
1275_p174,12,0,0
1276_p175,100,1,0
1277_p176,70,0,0
1278_p177,49,0,0
1279_p178,68,0,0
1280_p179,84,3,0
1281_p180,100,2,0
1282_p181,42,0,0
1283_p182,40,0,0
1284_p183,7,0,0
1285_p184,70,1,0
1286_p185,99,1,0
1287_p186,79,0,0
1288_p187,96,4,0
1289_p188,101,7,0
1290_p189,15,0,0
1291_p190,28,1,0
1292_p191,68,0,0
1293_p192,7,0,0
1294_p193,89,3,0
1295_p194,97,2,0
1296_p195,48,2,0
1297_p196,58,0,0
1298_p197,35,1,0
1299_p198,96,0,0
1300_p199,52,0,0
1301_p200,7,0,0
1302_p201,27,0,0
1303_p202,72,0,0
1304_p203,10,0,0
1305_p204,12,0,0
1306_p205,59,1,0
1307_p206,2,0,0
1308_p207,89,2,0
1309_p208,109,2,0
1310_p209,21,0,0
1311_p210,58,0,0
1312_p211,88,4,0
1313_p212,98,8,0
1314_p213,76,2,0
1315_p214,21,2,0
1316_p215,47,0,0
1317_p216,72,0,0
1318_p217,102,0,0
1319_p218,71,0,0
1320_p219,39,0,0
1321_p220,41,0,0
1322_p221,8,0,0
1323_p222,76,3,0
1324_p223,102,2,0
1325_p224,91,3,0
1326_p225,33,2,0
1327_p226,64,2,0
1328_p227,69,0,0
1329_p228,97,2,0
1330_p229,76,1,0
1331_p230,11,1,0
1332_p231,61,1,0
1333_p232,49,1,0
1334_p233,60,1,0
1335_p234,37,0,0
1336_p235,94,4,0
1337_p236,75,2,0
1338_p237,55,0,0
1339_p238,53,2,0
1340_p239,4,0,0
1341_p240,6,0,0
1342_p241,29,0,0
1343_p242,69,1,0
1344_p243,26,1,0
1345_p244,27,0,0
1346_p245,14,0,0
1347_p246,2,0,0
1348_p247,95,1,0
1349_p248,113,2,0
1350_p249,104,1,0
1351_p250,34,1,0
1352_p251,94,6,0
1353_p252,62,2,0
1354_p253,25,1,0
1355_p254,19,0,0
1356_p255,21,0,0
1357_p256,65,0,0
1358_p257,102,2,0
1359_p258,90,1,0
1360_p259,29,1,0
1361_p260,46,0,0
1362_p261,56,0,0
1363_p262,67,1,0
1364_p263,85,0,0
1365_p264,67,1,0
1366_p265,82,1,0
1367_p266,8,0,0
1368_p267,85,1,0
1369_p268,76,1,0
1370_p269,17,0,0
1371_p270,67,0,0
1372_p271,47,1,0
1373_p272,85,2,0
1374_p273,36,3,0
1375_p274,35,2,0
1376_p275,23,0,0
1377_p276,106,3,0
1378_p277,54,0,0
1379_p278,56,2,0
1380_p279,10,0,0
1381_p280,6,1,0
1382_p281,45,0,0
1383_p282,65,3,0
1384_p283,23,2,0
1385_p284,9,1,0
1386_p285,12,1,0
1387_p286,3,0,0
1388_p287,8,1,0
1389_p288,42,0,0
1390_p289,50,2,0
1391_p290,89,4,0
1392_p291,80,1,0
1393_p292,111,6,0
1394_p293,57,2,0
1395_p294,22,0,0
1396_p295,56,1,0
1397_p296,84,1,0
1398_p297,92,1,0
1399_p298,67,1,0
1400_p299,31,1,0
1401_p300,44,0,0
1402_p301,88,3,0
1403_p302,68,1,0
1404_p303,104,2,0
1405_p304,7,0,0
1406_p305,94,0,0
1407_p306,110,0,0
1408_p307,93,3,0
1409_p308,54,1,0
1410_p309,94,0,0
1411_p310,75,0,0
1412_p311,75,0,0
